date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:07	2502/2502	---M-Z	200	added ('OK')	application/json	date:Thu,%2004%20Sep%202025%2015:20:06%20GMT	https://savagetale.xyz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsavagetale.xyz%2F	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-json/oembed/1.0/embed52ae.json	(from https://savagetale.xyz/)
20:20:08	2679/2679	---M-Z	200	added ('OK')	text/xml	date:Thu,%2004%20Sep%202025%2015:20:06%20GMT	https://savagetale.xyz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsavagetale.xyz%2F&format=xml	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-json/oembed/1.0/embed83a8	(from https://savagetale.xyz/)
20:20:09	3722/3722	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e8a-BDyC/W8ojGNB0i0HfH8MDA2gGC8%22	https://cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting.min.js	C:/My%20Web%20Sites/SavageSale/cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting.min.js	(from https://savagetale.xyz/)
20:20:10	5310/5310	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2014%20Jun%202025%2005:39:22%20GMT	https://unpkg.com/in-view@0.6.1/dist/in-view.min.js	C:/My%20Web%20Sites/SavageSale/unpkg.com/in-view@0.6.1/dist/in-view.min.js	(from https://savagetale.xyz/)
20:20:10	2120/2120	---M--	200	added ('OK')	image/png	etag:%22848-641aa43a-9f1c5ab967515410;;;%22	https://savagetale.xyz/wp-content/uploads/2022/07/cropped-savage-logo-32x32.png	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2022/07/cropped-savage-logo-32x32.png	(from https://savagetale.xyz/)
20:20:10	67045/67045	---M--	200	added ('OK')	image/png	etag:%22105e5-641aa43a-41a46c3ac4e2d3c1;;;%22	https://savagetale.xyz/wp-content/uploads/2022/07/cropped-savage-logo-192x192.png	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2022/07/cropped-savage-logo-192x192.png	(from https://savagetale.xyz/)
20:20:11	58531/58531	---M--	200	added ('OK')	image/png	etag:%22e4a3-641aa43a-4da85828b4719a0a;;;%22	https://savagetale.xyz/wp-content/uploads/2022/07/cropped-savage-logo-180x180.png	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2022/07/cropped-savage-logo-180x180.png	(from https://savagetale.xyz/)
20:20:11	180328/180328	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222c068-641aa43a-1f70fec51f421c64;gz%22	https://savagetale.xyz/wp-content/uploads/2022/IMFellEnglishSC-Regular.ttf	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2022/IMFellEnglishSC-Regular.ttf	(from https://savagetale.xyz/)
20:20:11	3744/3744	---M--	200	added ('OK')	application/font-woff	etag:%22ea0-681faa68-bfcb89c72f8f391e;;;%22	https://savagetale.xyz/wp-content/fonts/lato/S6u9w4BMUTPHh6UVSwaPHw3q5d0N7w.woff	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/fonts/lato/S6u9w4BMUTPHh6UVSwaPHw3q5d0N7w.woff	(from https://savagetale.xyz/)
20:20:12	17624/17624	---M--	200	added ('OK')	application/font-woff	etag:%2244d8-681faa68-7ff65705881c53d;;;%22	https://savagetale.xyz/wp-content/fonts/lato/S6u9w4BMUTPHh6UVSwiPHw3q5d0.woff	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/fonts/lato/S6u9w4BMUTPHh6UVSwiPHw3q5d0.woff	(from https://savagetale.xyz/)
